Wavelength,xbar,ybar,zbar
750,0.000332301,0.00012,0
751,0.000309759,0.00011186,0
752,0.000288887,0.000104322,0
753,0.000269539,9.73356E-05,0
754,0.000251568,9.08459E-05,0
755,0.000234826,0.0000848,0
756,0.000219171,7.91467E-05,0
757,0.000204526,0.000073858,0
758,0.000190841,0.000068916,0
759,0.000178065,6.43027E-05,0
760,0.000166151,0.00006,0
761,0.000155024,5.59819E-05,0
762,0.000144622,5.22256E-05,0
763,0.00013491,4.87184E-05,0
764,0.000125852,4.54475E-05,0
765,0.000117413,0.0000424,0
766,0.000109552,3.9561E-05,0
767,0.000102225,3.69151E-05,0
768,9.53945E-05,3.44487E-05,0
769,8.90239E-05,3.21482E-05,0
770,8.30753E-05,0.00003,0
771,7.75127E-05,2.79913E-05,0
772,7.2313E-05,2.61136E-05,0
773,6.74578E-05,2.43602E-05,0
774,6.29284E-05,2.27246E-05,0
775,5.87065E-05,0.0000212,0
776,5.47703E-05,1.97786E-05,0
777,5.10992E-05,1.84529E-05,0
778,4.76765E-05,1.72169E-05,0
779,4.44857E-05,1.60646E-05,0
780,4.15099E-05,0.00001499,0
781,3.87332E-05,1.39873E-05,0
782,3.6142E-05,1.30516E-05,0
783,3.37235E-05,1.21782E-05,0
784,3.14649E-05,1.13625E-05,0
785,2.93533E-05,0.0000106,0
786,2.73757E-05,9.88588E-06,0
787,2.55243E-05,9.2173E-06,0
788,2.37938E-05,8.59236E-06,0
789,2.21787E-05,8.00913E-06,0
790,2.06738E-05,7.4657E-06,0
791,1.92723E-05,6.95957E-06,0
792,1.79664E-05,6.488E-06,0
793,1.67499E-05,6.0487E-06,0
794,1.56165E-05,5.6394E-06,0
795,1.45598E-05,5.2578E-06,0
796,1.35739E-05,4.90177E-06,0
797,1.26544E-05,4.56972E-06,0
798,1.17972E-05,4.26019E-06,0
799,1.09984E-05,3.97174E-06,0
800,1.0254E-05,3.7029E-06,0
801,9.55965E-06,3.45216E-06,0
802,8.91204E-06,3.2183E-06,0
803,8.30836E-06,3.0003E-06,0
804,7.74577E-06,2.79714E-06,0
805,7.22146E-06,2.6078E-06,0
806,6.73248E-06,2.43122E-06,0
807,6.27642E-06,2.26653E-06,0
808,5.8513E-06,2.11301E-06,0
809,5.45512E-06,1.96994E-06,0
810,5.08587E-06,1.8366E-06,0
811,4.74147E-06,1.71223E-06,0
812,4.42024E-06,1.59623E-06,0
813,4.12078E-06,1.48809E-06,0
814,3.84172E-06,1.38731E-06,0
815,3.58165E-06,1.2934E-06,0
816,3.33913E-06,1.20582E-06,0
817,3.11295E-06,1.12414E-06,0
818,2.90212E-06,1.04801E-06,0
819,2.70565E-06,9.77058E-07,0
820,2.52253E-06,9.1093E-07,0
821,2.35173E-06,8.49251E-07,0
822,2.19242E-06,7.91721E-07,0
823,2.0439E-06,7.3809E-07,0
824,1.9055E-06,6.8811E-07,0
825,1.77651E-06,6.4153E-07,0
826,1.65622E-06,5.9809E-07,0
827,1.54402E-06,5.57575E-07,0
828,1.43944E-06,5.19808E-07,0
829,1.34198E-06,4.84612E-07,0
830,1.25114E-06,4.5181E-07,0
